task_id,staff_id,eligible,penalty
T0018,S002,1,3.0
T0018,S003,1,0.0
T0018,S004,1,0.5
T0018,S006,1,1.5
T0018,S007,1,0.5
T0018,S009,1,1.0
T0018,S010,1,1.0
T0018,S012,1,0.0
T0018,S016,1,1.0
T0018,S017,1,1.5
T0018,S022,1,0.5
T0018,S023,1,1.0
T0018,S024,1,1.5
T0018,S025,1,0.5
T0018,S028,1,0.5
T0018,S029,1,1.0
T0018,S032,1,0.0
T0018,S034,1,0.0
T0018,S037,1,0.0
T0018,S040,1,1.0
T0018,S044,1,0.0
T0018,S045,1,0.0
T0018,S047,1,1.5
T0018,S051,1,1.5
T0018,S053,1,0.0
T0018,S054,1,0.0
T0018,S058,1,0.0
T0018,S059,1,1.0
T0018,S060,1,0.0
T0018,S061,1,3.0
T0018,S066,1,1.5
T0018,S072,1,0.5
T0018,S073,1,0.0
T0018,S076,1,0.0
T0018,S078,1,1.5
T0018,S080,1,1.0
T0028,S001,1,3.0
T0028,S002,1,0.0
T0028,S006,1,1.0
T0028,S008,1,1.0
T0028,S013,1,0.5
T0028,S020,1,1.0
T0028,S021,1,1.5
T0028,S023,1,0.5
T0028,S024,1,1.0
T0028,S025,1,1.5
T0028,S026,1,0.0
T0028,S029,1,3.0
T0028,S033,1,1.5
T0028,S034,1,1.0
T0028,S036,1,0.5
T0028,S037,1,0.0
T0028,S039,1,0.5
T0028,S040,1,0.0
T0028,S041,1,0.5
T0028,S042,1,1.0
T0028,S044,1,0.5
T0028,S045,1,1.0
T0028,S046,1,1.5
T0028,S051,1,1.5
T0028,S053,1,0.0
T0028,S054,1,1.5
T0028,S055,1,0.5
T0028,S058,1,1.5
T0028,S059,1,1.5
T0028,S060,1,1.5
T0028,S062,1,1.0
T0028,S063,1,0.0
T0028,S065,1,0.5
T0028,S068,1,1.5
T0028,S069,1,0.0
T0028,S071,1,1.5
T0028,S079,1,0.5
T0030,S001,1,3.0
T0030,S002,1,1.5
T0030,S006,1,0.0
T0030,S008,1,1.0
T0030,S013,1,0.0
T0030,S020,1,1.5
T0030,S021,1,1.0
T0030,S023,1,1.5
T0030,S024,1,1.0
T0030,S025,1,1.5
T0030,S026,1,1.5
T0030,S033,1,1.5
T0030,S034,1,0.0
T0030,S036,1,0.5
T0030,S037,1,1.0
T0030,S039,1,1.5
T0030,S040,1,0.5
T0030,S041,1,0.0
T0030,S042,1,0.5
T0030,S044,1,0.0
T0030,S045,1,0.5
T0030,S046,1,1.5
T0030,S051,1,0.0
T0030,S053,1,0.0
T0030,S054,1,0.0
T0030,S055,1,0.0
T0030,S058,1,0.0
T0030,S059,1,0.5
T0030,S060,1,0.0
T0030,S062,1,0.5
T0030,S063,1,1.0
T0030,S065,1,0.0
T0030,S068,1,0.5
T0030,S069,1,1.5
T0030,S071,1,0.0
T0030,S079,1,1.0
T0050,S001,1,0.0
T0050,S002,1,1.0
T0050,S003,1,0.5
T0050,S005,1,0.0
T0050,S006,1,1.5
T0050,S007,1,0.0
T0050,S008,1,0.5
T0050,S009,1,0.5
T0050,S010,1,1.5
T0050,S011,1,0.5
T0050,S013,1,1.0
T0050,S014,1,3.0
T0050,S017,1,0.0
T0050,S019,1,1.5
T0050,S020,1,1.5
T0050,S021,1,0.5
T0050,S023,1,3.0
T0050,S025,1,0.5
T0050,S026,1,0.0
T0050,S027,1,0.0
T0050,S030,1,1.0
T0050,S031,1,0.0
T0050,S032,1,1.5
T0050,S033,1,0.0
T0050,S035,1,1.5
T0050,S036,1,1.5
T0050,S038,1,0.0
T0050,S040,1,1.5
T0050,S041,1,0.0
T0050,S042,1,1.5
T0050,S044,1,1.5
T0050,S045,1,1.0
T0050,S047,1,1.0
T0050,S048,1,1.0
T0050,S050,1,0.0
T0050,S051,1,0.5
T0050,S057,1,1.0
T0050,S058,1,0.0
T0050,S062,1,0.0
T0050,S071,1,0.0
T0050,S072,1,1.5
T0050,S073,1,3.0
T0050,S078,1,1.0
T0053,S002,1,1.0
T0053,S005,1,0.5
T0053,S011,1,0.0
T0053,S012,1,1.0
T0053,S015,1,1.0
T0053,S016,1,0.5
T0053,S024,1,1.5
T0053,S025,1,1.0
T0053,S026,1,1.0
T0053,S028,1,1.0
T0053,S032,1,1.5
T0053,S034,1,1.5
T0053,S035,1,1.5
T0053,S038,1,0.0
T0053,S041,1,1.5
T0053,S044,1,0.5
T0053,S045,1,1.0
T0053,S049,1,0.0
T0053,S055,1,1.0
T0053,S056,1,1.5
T0053,S066,1,3.0
T0053,S067,1,0.5
T0053,S068,1,0.5
T0053,S070,1,0.0
T0053,S072,1,0.5
T0053,S073,1,0.0
T0053,S074,1,0.0
T0053,S076,1,1.5
T0053,S077,1,1.0
T0053,S080,1,1.5
T0062,S001,1,0.5
T0062,S003,1,0.0
T0062,S004,1,1.5
T0062,S005,1,3.0
T0062,S007,1,0.0
T0062,S008,1,1.0
T0062,S009,1,1.0
T0062,S010,1,1.0
T0062,S014,1,0.5
T0062,S016,1,1.5
T0062,S021,1,0.5
T0062,S022,1,1.0
T0062,S030,1,3.0
T0062,S031,1,3.0
T0062,S036,1,3.0
T0062,S040,1,1.0
T0062,S042,1,1.0
T0062,S045,1,1.5
T0062,S046,1,1.0
T0062,S047,1,3.0
T0062,S048,1,1.5
T0062,S050,1,0.0
T0062,S052,1,0.0
T0062,S053,1,1.0
T0062,S061,1,0.5
T0062,S062,1,0.5
T0062,S064,1,1.0
T0062,S071,1,1.0
T0062,S072,1,1.5
T0062,S075,1,1.5
T0062,S078,1,1.5
T0062,S080,1,0.0
T0064,S002,1,0.0
T0064,S003,1,3.0
T0064,S006,1,3.0
T0064,S007,1,0.5
T0064,S008,1,0.0
T0064,S014,1,0.5
T0064,S017,1,0.5
T0064,S018,1,1.5
T0064,S022,1,1.0
T0064,S025,1,0.0
T0064,S032,1,0.5
T0064,S033,1,1.0
T0064,S035,1,1.5
T0064,S036,1,1.5
T0064,S041,1,1.0
T0064,S044,1,1.0
T0064,S045,1,1.5
T0064,S048,1,0.0
T0064,S050,1,1.5
T0064,S059,1,0.0
T0064,S061,1,0.5
T0064,S063,1,0.5
T0064,S065,1,0.0
T0064,S069,1,0.5
T0064,S070,1,0.5
T0064,S071,1,0.5
T0064,S072,1,0.5
T0064,S073,1,0.5
T0064,S076,1,0.5
T0064,S079,1,1.0
T0068,S001,1,0.5
T0068,S002,1,0.0
T0068,S005,1,0.5
T0068,S007,1,1.0
T0068,S009,1,1.0
T0068,S010,1,0.0
T0068,S011,1,1.5
T0068,S012,1,1.5
T0068,S014,1,3.0
T0068,S018,1,0.0
T0068,S025,1,0.0
T0068,S026,1,0.0
T0068,S027,1,1.0
T0068,S028,1,1.5
T0068,S029,1,1.5
T0068,S030,1,1.5
T0068,S035,1,0.0
T0068,S042,1,1.0
T0068,S046,1,0.0
T0068,S049,1,0.0
T0068,S051,1,0.5
T0068,S052,1,1.0
T0068,S058,1,0.5
T0068,S059,1,1.0
T0068,S061,1,3.0
T0068,S062,1,0.5
T0068,S064,1,0.0
T0068,S066,1,0.0
T0068,S071,1,0.0
T0068,S079,1,1.5
T0068,S080,1,3.0
T0071,S002,1,1.5
T0071,S004,1,1.0
T0071,S006,1,0.5
T0071,S008,1,0.5
T0071,S009,1,0.0
T0071,S012,1,1.5
T0071,S013,1,0.0
T0071,S015,1,1.5
T0071,S020,1,0.5
T0071,S021,1,1.0
T0071,S025,1,0.0
T0071,S027,1,0.0
T0071,S031,1,1.5
T0071,S032,1,0.0
T0071,S035,1,0.0
T0071,S039,1,1.0
T0071,S040,1,1.5
T0071,S043,1,0.5
T0071,S046,1,0.5
T0071,S048,1,1.5
T0071,S049,1,0.5
T0071,S050,1,0.5
T0071,S056,1,1.5
T0071,S059,1,0.0
T0071,S061,1,0.0
T0071,S063,1,1.5
T0071,S064,1,0.0
T0071,S065,1,0.5
T0071,S067,1,1.0
T0071,S069,1,1.5
T0071,S070,1,3.0
T0071,S074,1,1.5
T0071,S075,1,1.5
T0071,S077,1,1.0
T0071,S078,1,0.0
T0076,S005,1,0.5
T0076,S006,1,1.0
T0076,S014,1,1.0
T0076,S015,1,0.0
T0076,S016,1,1.5
T0076,S017,1,0.0
T0076,S018,1,1.0
T0076,S019,1,1.5
T0076,S020,1,0.0
T0076,S021,1,3.0
T0076,S022,1,1.0
T0076,S025,1,0.0
T0076,S029,1,1.0
T0076,S031,1,1.0
T0076,S032,1,1.5
T0076,S036,1,0.5
T0076,S037,1,0.5
T0076,S040,1,1.0
T0076,S041,1,0.5
T0076,S044,1,0.0
T0076,S045,1,0.5
T0076,S050,1,1.0
T0076,S051,1,0.5
T0076,S055,1,0.0
T0076,S056,1,0.5
T0076,S059,1,0.0
T0076,S062,1,0.5
T0076,S065,1,0.0
T0076,S067,1,1.5
T0076,S068,1,1.5
T0076,S070,1,1.0
T0076,S072,1,0.0
T0076,S073,1,0.0
T0076,S075,1,0.5
T0076,S076,1,0.0
T0076,S077,1,0.5
T0076,S079,1,0.5
T0077,S005,1,1.5
T0077,S006,1,0.0
T0077,S014,1,0.5
T0077,S015,1,0.0
T0077,S016,1,1.0
T0077,S017,1,0.0
T0077,S018,1,0.0
T0077,S019,1,0.5
T0077,S020,1,0.5
T0077,S022,1,0.5
T0077,S025,1,1.5
T0077,S029,1,1.0
T0077,S031,1,1.0
T0077,S032,1,1.5
T0077,S036,1,0.5
T0077,S037,1,0.5
T0077,S040,1,0.0
T0077,S041,1,0.5
T0077,S044,1,0.5
T0077,S045,1,1.5
T0077,S050,1,0.5
T0077,S051,1,1.0
T0077,S055,1,0.5
T0077,S056,1,0.5
T0077,S058,1,3.0
T0077,S059,1,1.5
T0077,S062,1,1.5
T0077,S065,1,1.5
T0077,S067,1,0.5
T0077,S068,1,1.0
T0077,S070,1,0.5
T0077,S072,1,1.5
T0077,S073,1,1.5
T0077,S075,1,1.5
T0077,S076,1,0.0
T0077,S077,1,0.5
T0077,S079,1,1.0
T0079,S002,1,1.0
T0079,S003,1,1.0
T0079,S006,1,0.0
T0079,S008,1,0.5
T0079,S009,1,1.0
T0079,S010,1,0.5
T0079,S013,1,3.0
T0079,S015,1,1.0
T0079,S016,1,0.5
T0079,S018,1,0.5
T0079,S020,1,0.5
T0079,S023,1,0.5
T0079,S024,1,0.5
T0079,S025,1,0.0
T0079,S026,1,3.0
T0079,S028,1,1.0
T0079,S032,1,1.5
T0079,S033,1,0.0
T0079,S034,1,0.0
T0079,S037,1,1.0
T0079,S041,1,0.0
T0079,S043,1,1.5
T0079,S045,1,3.0
T0079,S047,1,0.0
T0079,S049,1,1.0
T0079,S051,1,3.0
T0079,S052,1,1.0
T0079,S054,1,0.0
T0079,S059,1,1.0
T0079,S060,1,0.5
T0079,S061,1,0.0
T0079,S063,1,0.5
T0079,S065,1,3.0
T0079,S069,1,1.0
T0079,S079,1,0.0
T0079,S080,1,1.5
T0085,S002,1,0.5
T0085,S003,1,3.0
T0085,S004,1,0.5
T0085,S009,1,0.0
T0085,S012,1,1.0
T0085,S016,1,0.0
T0085,S017,1,1.5
T0085,S018,1,0.5
T0085,S020,1,0.5
T0085,S021,1,0.5
T0085,S022,1,1.0
T0085,S025,1,1.5
T0085,S026,1,1.0
T0085,S027,1,1.0
T0085,S036,1,0.5
T0085,S037,1,0.5
T0085,S040,1,3.0
T0085,S043,1,1.5
T0085,S044,1,1.0
T0085,S045,1,1.5
T0085,S047,1,1.0
T0085,S048,1,1.5
T0085,S052,1,1.5
T0085,S056,1,0.5
T0085,S058,1,1.0
T0085,S063,1,3.0
T0085,S065,1,1.5
T0085,S066,1,0.0
T0085,S069,1,0.0
T0085,S072,1,1.0
T0085,S075,1,0.0
T0085,S077,1,1.0
T0085,S078,1,0.5
T0085,S080,1,3.0
T0091,S001,1,1.0
T0091,S002,1,1.0
T0091,S004,1,1.5
T0091,S007,1,3.0
T0091,S008,1,0.0
T0091,S010,1,3.0
T0091,S012,1,0.0
T0091,S015,1,1.0
T0091,S016,1,0.0
T0091,S018,1,0.0
T0091,S019,1,1.0
T0091,S023,1,3.0
T0091,S028,1,0.5
T0091,S037,1,1.0
T0091,S039,1,0.0
T0091,S045,1,3.0
T0091,S049,1,0.0
T0091,S050,1,1.5
T0091,S051,1,1.5
T0091,S052,1,1.5
T0091,S053,1,1.0
T0091,S057,1,0.0
T0091,S058,1,1.0
T0091,S059,1,1.5
T0091,S061,1,0.0
T0091,S062,1,1.5
T0091,S066,1,1.5
T0091,S068,1,0.0
T0091,S069,1,1.5
T0091,S070,1,3.0
T0091,S071,1,0.0
T0091,S080,1,1.5
T0097,S001,1,0.0
T0097,S002,1,0.5
T0097,S005,1,1.0
T0097,S007,1,0.0
T0097,S010,1,1.5
T0097,S011,1,0.0
T0097,S013,1,1.5
T0097,S014,1,0.5
T0097,S018,1,0.5
T0097,S019,1,0.5
T0097,S020,1,1.0
T0097,S023,1,0.5
T0097,S025,1,3.0
T0097,S026,1,0.0
T0097,S027,1,0.5
T0097,S028,1,0.5
T0097,S034,1,1.5
T0097,S036,1,0.5
T0097,S039,1,0.5
T0097,S040,1,1.0
T0097,S042,1,0.5
T0097,S046,1,0.0
T0097,S048,1,0.0
T0097,S050,1,3.0
T0097,S053,1,1.5
T0097,S055,1,1.5
T0097,S056,1,1.5
T0097,S057,1,0.0
T0097,S058,1,0.5
T0097,S060,1,0.5
T0097,S062,1,1.5
T0097,S064,1,0.0
T0097,S068,1,0.0
T0097,S069,1,1.5
T0097,S070,1,0.5
T0097,S071,1,3.0
T0097,S072,1,1.0
T0097,S074,1,0.5
T0097,S075,1,0.5
T0097,S077,1,0.5
T0097,S079,1,0.0
T0098,S001,1,0.5
T0098,S002,1,0.5
T0098,S005,1,0.0
T0098,S007,1,1.5
T0098,S010,1,1.0
T0098,S011,1,0.5
T0098,S013,1,0.5
T0098,S014,1,0.5
T0098,S016,1,3.0
T0098,S018,1,1.5
T0098,S019,1,0.5
T0098,S020,1,0.0
T0098,S023,1,1.5
T0098,S026,1,0.5
T0098,S027,1,0.0
T0098,S028,1,0.0
T0098,S034,1,1.5
T0098,S036,1,1.0
T0098,S037,1,3.0
T0098,S039,1,0.0
T0098,S040,1,1.0
T0098,S042,1,0.5
T0098,S046,1,0.5
T0098,S048,1,1.0
T0098,S053,1,1.0
T0098,S055,1,1.5
T0098,S056,1,0.0
T0098,S057,1,1.5
T0098,S058,1,0.5
T0098,S060,1,0.5
T0098,S062,1,1.0
T0098,S063,1,3.0
T0098,S064,1,1.5
T0098,S068,1,0.5
T0098,S069,1,1.0
T0098,S070,1,1.0
T0098,S072,1,0.5
T0098,S074,1,0.5
T0098,S075,1,0.5
T0098,S077,1,1.0
T0098,S079,1,0.5
T0105,S003,1,1.5
T0105,S006,1,1.5
T0105,S009,1,3.0
T0105,S010,1,0.5
T0105,S012,1,1.0
T0105,S015,1,0.5
T0105,S016,1,0.0
T0105,S019,1,1.0
T0105,S020,1,1.0
T0105,S021,1,0.0
T0105,S022,1,1.0
T0105,S023,1,1.0
T0105,S026,1,3.0
T0105,S028,1,1.5
T0105,S030,1,0.0
T0105,S033,1,0.5
T0105,S042,1,0.5
T0105,S043,1,0.0
T0105,S044,1,0.5
T0105,S047,1,0.5
T0105,S048,1,1.5
T0105,S049,1,0.5
T0105,S050,1,1.5
T0105,S052,1,1.5
T0105,S053,1,1.5
T0105,S056,1,1.0
T0105,S058,1,1.0
T0105,S059,1,0.5
T0105,S060,1,1.0
T0105,S062,1,0.0
T0105,S063,1,1.0
T0105,S064,1,1.5
T0105,S067,1,1.5
T0105,S068,1,1.5
T0105,S069,1,0.5
T0105,S073,1,0.5
T0105,S074,1,0.0
T0105,S077,1,0.5
T0105,S079,1,1.5
T0105,S080,1,1.0
T0115,S004,1,3.0
T0115,S008,1,1.5
T0115,S009,1,0.0
T0115,S013,1,0.5
T0115,S014,1,0.0
T0115,S018,1,0.0
T0115,S023,1,0.5
T0115,S028,1,1.0
T0115,S033,1,1.0
T0115,S036,1,1.5
T0115,S038,1,0.0
T0115,S039,1,0.0
T0115,S040,1,0.5
T0115,S041,1,1.0
T0115,S042,1,0.0
T0115,S045,1,1.0
T0115,S050,1,1.0
T0115,S052,1,3.0
T0115,S055,1,0.0
T0115,S060,1,3.0
T0115,S061,1,0.0
T0115,S062,1,0.5
T0115,S063,1,1.0
T0115,S066,1,0.5
T0115,S068,1,0.0
T0115,S070,1,0.5
T0115,S074,1,0.0
T0115,S075,1,0.5
T0115,S076,1,0.5
