task_id,staff_id,eligible,penalty
T0001,S001,1,0.5
T0001,S006,1,1.0
T0001,S009,1,0.5
T0001,S010,1,0.5
T0001,S012,1,1.5
T0001,S013,1,0.5
T0001,S015,1,0.5
T0001,S017,1,0.0
T0001,S019,1,1.5
T0001,S020,1,0.0
T0001,S027,1,0.0
T0001,S037,1,1.5
T0001,S038,1,1.0
T0001,S042,1,0.5
T0001,S043,1,1.5
T0001,S044,1,3.0
T0001,S046,1,3.0
T0001,S048,1,0.0
T0001,S049,1,1.5
T0001,S051,1,3.0
T0001,S055,1,0.0
T0001,S057,1,1.0
T0001,S058,1,1.0
T0001,S060,1,3.0
T0001,S063,1,0.0
T0001,S065,1,0.0
T0001,S066,1,1.0
T0001,S067,1,0.5
T0001,S069,1,1.0
T0001,S075,1,0.0
T0001,S076,1,3.0
T0001,S078,1,1.0
T0001,S080,1,0.0
T0002,S001,1,0.0
T0002,S006,1,0.0
T0002,S009,1,0.5
T0002,S010,1,1.0
T0002,S012,1,0.0
T0002,S013,1,0.0
T0002,S015,1,0.0
T0002,S017,1,0.0
T0002,S019,1,1.0
T0002,S020,1,0.0
T0002,S024,1,3.0
T0002,S027,1,1.0
T0002,S037,1,0.0
T0002,S038,1,1.0
T0002,S042,1,0.5
T0002,S043,1,0.0
T0002,S048,1,0.0
T0002,S049,1,0.0
T0002,S055,1,1.0
T0002,S056,1,3.0
T0002,S057,1,0.0
T0002,S058,1,0.5
T0002,S063,1,1.5
T0002,S065,1,1.0
T0002,S066,1,0.5
T0002,S067,1,1.0
T0002,S069,1,0.5
T0002,S075,1,1.0
T0002,S078,1,1.0
T0002,S080,1,0.0
T0003,S001,1,0.5
T0003,S006,1,1.0
T0003,S009,1,1.5
T0003,S010,1,0.5
T0003,S012,1,1.5
T0003,S013,1,1.5
T0003,S015,1,0.5
T0003,S017,1,0.5
T0003,S018,1,3.0
T0003,S019,1,0.0
T0003,S020,1,0.5
T0003,S026,1,3.0
T0003,S027,1,1.5
T0003,S037,1,1.0
T0003,S038,1,0.0
T0003,S042,1,1.0
T0003,S043,1,0.5
T0003,S048,1,1.0
T0003,S049,1,0.5
T0003,S055,1,1.0
T0003,S057,1,1.0
T0003,S058,1,1.0
T0003,S060,1,3.0
T0003,S063,1,0.5
T0003,S065,1,1.5
T0003,S066,1,1.0
T0003,S067,1,0.5
T0003,S069,1,0.0
T0003,S075,1,0.0
T0003,S076,1,3.0
T0003,S078,1,0.5
T0003,S080,1,1.0
T0004,S001,1,0.0
T0004,S003,1,0.5
T0004,S004,1,0.0
T0004,S007,1,0.0
T0004,S008,1,1.5
T0004,S012,1,1.5
T0004,S013,1,0.5
T0004,S014,1,1.0
T0004,S015,1,0.0
T0004,S016,1,1.5
T0004,S018,1,1.5
T0004,S019,1,0.5
T0004,S021,1,1.0
T0004,S024,1,0.0
T0004,S025,1,3.0
T0004,S029,1,1.0
T0004,S031,1,1.5
T0004,S034,1,1.5
T0004,S035,1,0.0
T0004,S036,1,0.0
T0004,S041,1,0.5
T0004,S043,1,1.5
T0004,S044,1,1.0
T0004,S051,1,1.0
T0004,S052,1,1.5
T0004,S058,1,1.0
T0004,S060,1,1.5
T0004,S061,1,1.5
T0004,S063,1,3.0
T0004,S069,1,1.5
T0004,S079,1,1.5
T0005,S001,1,1.5
T0005,S003,1,1.5
T0005,S004,1,0.5
T0005,S007,1,1.5
T0005,S008,1,1.5
T0005,S012,1,1.5
T0005,S013,1,1.0
T0005,S014,1,0.0
T0005,S015,1,0.0
T0005,S016,1,0.5
T0005,S018,1,0.0
T0005,S019,1,0.0
T0005,S021,1,0.0
T0005,S024,1,0.0
T0005,S029,1,0.5
T0005,S031,1,1.5
T0005,S034,1,1.5
T0005,S035,1,0.0
T0005,S036,1,1.0
T0005,S041,1,0.5
T0005,S043,1,1.0
T0005,S044,1,1.5
T0005,S051,1,0.0
T0005,S052,1,0.0
T0005,S058,1,1.0
T0005,S060,1,0.5
T0005,S061,1,0.0
T0005,S069,1,0.5
T0005,S079,1,1.0
T0006,S001,1,1.5
T0006,S003,1,1.5
T0006,S004,1,1.5
T0006,S007,1,0.5
T0006,S008,1,1.5
T0006,S011,1,3.0
T0006,S012,1,1.0
T0006,S013,1,0.5
T0006,S014,1,0.0
T0006,S015,1,1.0
T0006,S016,1,1.0
T0006,S018,1,1.0
T0006,S019,1,1.5
T0006,S021,1,1.0
T0006,S024,1,1.5
T0006,S029,1,0.5
T0006,S031,1,0.0
T0006,S034,1,0.0
T0006,S035,1,1.0
T0006,S036,1,1.0
T0006,S037,1,3.0
T0006,S041,1,0.0
T0006,S043,1,1.0
T0006,S044,1,0.0
T0006,S051,1,1.5
T0006,S052,1,1.0
T0006,S058,1,0.5
T0006,S060,1,1.0
T0006,S061,1,1.5
T0006,S069,1,1.0
T0006,S071,1,3.0
T0006,S079,1,0.5
T0007,S002,1,0.0
T0007,S008,1,3.0
T0007,S009,1,1.5
T0007,S011,1,1.0
T0007,S012,1,1.5
