task_id,staff_id,learned_cost
T0001,S001,2.50530110147847
T0001,S006,2.410739358279537
T0001,S009,2.50530110147847
T0001,S010,2.50530110147847
T0001,S012,2.5284788618876486
T0001,S013,2.50530110147847
T0001,S015,2.25075430796117
T0001,S017,2.511081933375988
T0001,S019,2.5284788618876486
T0001,S020,2.511081933375988
T0001,S027,2.777707786888727
T0001,S037,2.5284788618876486
T0001,S038,2.4371734940556093
T0001,S042,2.25075430796117
T0001,S043,2.5284788618876486
T0001,S044,2.107539394572749
T0001,S046,2.107539394572749
T0001,S048,2.777707786888727
T0001,S049,2.5284788618876486
T0001,S051,2.107539394572749
T0001,S055,2.511081933375988
T0001,S057,2.410739358279537
T0001,S058,2.410739358279537
T0001,S060,2.107539394572749
T0001,S063,2.511081933375988
T0001,S065,2.777707786888727
T0001,S066,2.410739358279537
T0001,S067,2.50530110147847
T0001,S069,2.4371734940556093
T0001,S075,2.511081933375988
T0001,S076,2.107539394572749
T0001,S078,2.410739358279537
T0001,S080,2.777707786888727
T0002,S001,2.511081933375988
T0002,S006,2.511081933375988
T0002,S009,2.50530110147847
T0002,S010,2.410739358279537
T0002,S012,2.511081933375988
T0002,S013,2.511081933375988
T0002,S015,2.777707786888727
T0002,S017,2.511081933375988
T0002,S019,2.410739358279537
T0002,S020,2.511081933375988
T0002,S024,2.107539394572749
T0002,S027,2.4371734940556093
T0002,S037,2.511081933375988
T0002,S038,2.4371734940556093
T0002,S042,2.25075430796117
T0002,S043,2.511081933375988
T0002,S048,2.777707786888727
T0002,S049,2.511081933375988
T0002,S055,2.410739358279537
T0002,S056,2.107539394572749
T0002,S057,2.511081933375988
T0002,S058,2.50530110147847
T0002,S063,2.5284788618876486
T0002,S065,2.4371734940556093
T0002,S066,2.50530110147847
T0002,S067,2.410739358279537
T0002,S069,2.25075430796117
T0002,S075,2.410739358279537
T0002,S078,2.410739358279537
T0002,S080,2.777707786888727
T0003,S001,2.25075430796117
T0003,S006,2.4371734940556093
T0003,S009,2.5284788618876486
T0003,S010,2.50530110147847
T0003,S012,2.3881715524834877
T0003,S013,2.5284788618876486
T0003,S015,2.50530110147847
T0003,S017,2.50530110147847
T0003,S018,2.107539394572749
T0003,S019,2.511081933375988
T0003,S020,2.50530110147847
T0003,S026,2.107539394572749
T0003,S027,2.5284788618876486
T0003,S037,2.4371734940556093
T0003,S038,2.511081933375988
T0003,S042,2.410739358279537
T0003,S043,2.25075430796117
