staff_id,task_id,pref_score
S025,T0001,0.95
S019,T0001,0.855
S079,T0001,0.638
S012,T0001,0.901
S029,T0001,0.713
S046,T0001,0.748
S031,T0001,0.929
S021,T0001,0.645
S044,T0001,0.893
S013,T0001,0.95
S074,T0001,0.781
S042,T0001,0.747
S055,T0001,0.807
S049,T0001,0.824
S069,T0001,0.873
S003,T0001,0.857
S025,T0002,0.831
S024,T0002,0.656
S034,T0002,0.831
S020,T0002,0.863
S049,T0002,0.777
S078,T0002,0.753
S056,T0002,0.721
S044,T0002,0.619
S041,T0002,0.927
S064,T0002,0.685
S036,T0002,0.888
S063,T0002,0.786
S032,T0002,0.927
S003,T0002,0.763
S027,T0002,0.941
S050,T0002,0.873
S012,T0003,0.776
S070,T0003,0.678
S001,T0003,0.945
S068,T0003,0.805
S069,T0003,0.89
S007,T0003,0.696
S038,T0003,0.717
S077,T0003,0.647
S066,T0003,0.65
S053,T0003,0.885
S054,T0003,0.726
S080,T0003,0.67
S057,T0003,0.927
S064,T0003,0.645
S016,T0003,0.898
S032,T0003,0.79
S016,T0004,0.682
S014,T0004,0.622
S073,T0004,0.743
S053,T0004,0.652
S032,T0004,0.846
S026,T0004,0.949
S052,T0004,0.873
S059,T0004,0.905
S057,T0004,0.821
S027,T0004,0.607
S002,T0004,0.87
S003,T0004,0.73
S033,T0004,0.712
S039,T0004,0.733
S007,T0004,0.751
S072,T0004,0.602
S023,T0005,0.817
S039,T0005,0.764
S052,T0005,0.605
S077,T0005,0.698
S078,T0005,0.701
S002,T0005,0.889
S079,T0005,0.921
S062,T0005,0.801
S014,T0005,0.845
S027,T0005,0.783
S022,T0005,0.786
S072,T0005,0.712
S060,T0005,0.769
S029,T0005,0.892
S068,T0005,0.844
S038,T0005,0.92
S033,T0006,0.757
S056,T0006,0.932
S051,T0006,0.844
S041,T0006,0.625
S061,T0006,0.929
S045,T0006,0.66
S030,T0006,0.639
S015,T0006,0.822
S018,T0006,0.722
S026,T0006,0.896
S043,T0006,0.9
S074,T0006,0.761
S078,T0006,0.93
S046,T0006,0.707
S052,T0006,0.711
S067,T0006,0.925
S053,T0007,0.894
S056,T0007,0.782
S018,T0007,0.833
S065,T0007,0.813
S068,T0007,0.889
S074,T0007,0.893
S028,T0007,0.672
S049,T0007,0.832
S063,T0007,0.656
S079,T0007,0.655
S044,T0007,0.661
S041,T0007,0.655
S076,T0007,0.659
S077,T0007,0.794
S035,T0007,0.923
S048,T0007,0.886
S014,T0008,0.762
S051,T0008,0.652
S066,T0008,0.913
S049,T0008,0.72
S009,T0008,0.642
S032,T0008,0.736
S080,T0008,0.832
S013,T0008,0.659
S076,T0008,0.623
S047,T0008,0.833
S046,T0008,0.933
S061,T0008,0.642
S002,T0008,0.886
S073,T0008,0.726
S068,T0008,0.935
S069,T0008,0.723
S004,T0009,0.637
