staff_id,slot_type,cost
S001,morning,0.0
S001,midday,0.0
S001,evening,1.0
S002,morning,0.0
S002,midday,0.0
S002,evening,1.0
S003,morning,0.0
S003,midday,0.0
S003,evening,1.0
S004,morning,0.0
S004,midday,0.0
S004,evening,1.0
S005,morning,0.0
S005,midday,0.0
S005,evening,1.0
S006,morning,0.0
S006,midday,0.0
S006,evening,1.0
S007,morning,0.0
S007,midday,0.0
S007,evening,1.0
S008,morning,0.0
S008,midday,0.0
S008,evening,1.0
S009,morning,0.0
S009,midday,0.0
S009,evening,1.0
S010,morning,0.0
S010,midday,0.0
S010,evening,1.0
S011,morning,0.0
S011,midday,0.0
S011,evening,1.0
S012,morning,0.0
S012,midday,0.0
S012,evening,1.0
S013,morning,0.0
S013,midday,0.0
S013,evening,1.0
S014,morning,0.0
S014,midday,0.0
S014,evening,1.0
S015,morning,0.0
S015,midday,0.0
S015,evening,1.0
S016,morning,0.0
S016,midday,0.0
S016,evening,1.0
S017,morning,0.0
S017,midday,0.0
S017,evening,1.0
S018,morning,0.0
S018,midday,0.0
S018,evening,1.0
S019,morning,0.0
S019,midday,0.0
S019,evening,1.0
S020,morning,0.0
S020,midday,0.0
S020,evening,1.0
S021,morning,0.0
S021,midday,0.0
S021,evening,1.0
S022,morning,0.0
S022,midday,0.0
S022,evening,1.0
S023,morning,0.0
S023,midday,0.0
S023,evening,1.0
S024,morning,0.0
S024,midday,0.0
S024,evening,1.0
S025,morning,0.0
S025,midday,0.0
S025,evening,1.0
S026,morning,0.0
S026,midday,0.0
S026,evening,1.0
S027,morning,0.0
S027,midday,0.0
S027,evening,1.0
S028,morning,0.0
S028,midday,0.0
S028,evening,1.0
S029,morning,0.0
S029,midday,0.0
S029,evening,1.0
S030,morning,0.0
S030,midday,0.0
S030,evening,1.0
S031,morning,0.0
S031,midday,0.0
S031,evening,1.0
S032,morning,0.0
S032,midday,0.0
S032,evening,1.0
S033,morning,0.0
S033,midday,0.0
S033,evening,1.0
S034,morning,0.0
S034,midday,0.0
S034,evening,1.0
S035,morning,0.0
S035,midday,0.0
S035,evening,1.0
S036,morning,0.0
S036,midday,0.0
S036,evening,1.0
S037,morning,0.0
S037,midday,0.0
S037,evening,1.0
S038,morning,0.0
S038,midday,0.0
S038,evening,1.0
S039,morning,0.0
S039,midday,0.0
S039,evening,1.0
S040,morning,0.0
S040,midday,0.0
S040,evening,1.0
S041,morning,0.0
S041,midday,0.0
S041,evening,1.0
S042,morning,0.0
S042,midday,0.0
S042,evening,1.0
S043,morning,0.0
S043,midday,0.0
S043,evening,1.0
S044,morning,0.0
S044,midday,0.0
S044,evening,1.0
S045,morning,0.0
S045,midday,0.0
S045,evening,1.0
S046,morning,0.0
S046,midday,0.0
S046,evening,1.0
S047,morning,0.0
S047,midday,0.0
S047,evening,1.0
S048,morning,0.0
S048,midday,0.0
S048,evening,1.0
S049,morning,0.0
S049,midday,0.0
S049,evening,1.0
S050,morning,0.0
S050,midday,0.0
S050,evening,1.0
S051,morning,0.0
S051,midday,0.0
S051,evening,1.0
S052,morning,0.0
S052,midday,0.0
S052,evening,1.0
S053,morning,0.0
S053,midday,0.0
S053,evening,1.0
S054,morning,0.0
S054,midday,0.0
S054,evening,1.0
S055,morning,0.0
S055,midday,0.0
S055,evening,1.0
S056,morning,0.0
S056,midday,0.0
S056,evening,1.0
S057,morning,0.0
S057,midday,0.0
S057,evening,1.0
S058,morning,0.0
S058,midday,0.0
S058,evening,1.0
S059,morning,0.0
S059,midday,0.0
S059,evening,1.0
S060,morning,0.0
S060,midday,0.0
S060,evening,1.0
S061,morning,0.0
S061,midday,0.0
S061,evening,1.0
S062,morning,0.0
S062,midday,0.0
S062,evening,1.0
S063,morning,0.0
S063,midday,0.0
S063,evening,1.0
S064,morning,0.0
S064,midday,0.0
S064,evening,1.0
S065,morning,0.0
S065,midday,0.0
S065,evening,1.0
S066,morning,0.0
S066,midday,0.0
S066,evening,1.0
S067,morning,0.0
S067,midday,0.0
S067,evening,1.0
S068,morning,0.0
S068,midday,0.0
S068,evening,1.0
S069,morning,0.0
S069,midday,0.0
S069,evening,1.0
S070,morning,0.0
S070,midday,0.0
S070,evening,1.0
S071,morning,0.0
S071,midday,0.0
S071,evening,1.0
S072,morning,0.0
S072,midday,0.0
S072,evening,1.0
S073,morning,0.0
S073,midday,0.0
S073,evening,1.0
S074,morning,0.0
S074,midday,0.0
S074,evening,1.0
S075,morning,0.0
S075,midday,0.0
S075,evening,1.0
S076,morning,0.0
S076,midday,0.0
S076,evening,1.0
S077,morning,0.0
S077,midday,0.0
S077,evening,1.0
S078,morning,0.0
S078,midday,0.0
S078,evening,1.0
S079,morning,0.0
S079,midday,0.0
S079,evening,1.0
S080,morning,0.0
S080,midday,0.0
S080,evening,1.0
