staff_id,name,grade,max_hours,target_hours,prep_cap,soft_prep_target,thr_excess,home_campus
S001,Staff_001,junior,110,83,2,1,94,North
S002,Staff_002,senior,93,68,6,4,77,South
S003,Staff_003,senior,66,54,5,3,69,North
S004,Staff_004,junior,109,70,4,2,75,South
S005,Staff_005,junior,116,54,3,1,62,South
S006,Staff_006,senior,84,77,2,1,85,North
S007,Staff_007,junior,66,59,5,3,76,North
S008,Staff_008,senior,96,82,3,1,100,City
S009,Staff_009,junior,111,63,5,3,74,City
S010,Staff_010,junior,100,81,2,1,100,City
S011,Staff_011,senior,117,80,6,4,88,South
S012,Staff_012,senior,112,82,5,3,98,North
S013,Staff_013,junior,116,50,3,1,57,City
S014,Staff_014,senior,84,64,2,1,77,City
S015,Staff_015,senior,78,64,5,3,78,South
S016,Staff_016,junior,89,78,4,2,92,South
S017,Staff_017,junior,64,53,4,2,71,City
S018,Staff_018,senior,64,57,6,4,76,South
S019,Staff_019,junior,71,63,4,2,70,City
S020,Staff_020,junior,70,63,4,2,82,City
S021,Staff_021,junior,99,80,2,1,98,South
S022,Staff_022,junior,60,53,6,4,67,South
S023,Staff_023,junior,96,84,6,4,100,North
S024,Staff_024,junior,76,66,4,2,72,City
S025,Staff_025,senior,101,63,2,1,74,North
S026,Staff_026,senior,108,82,3,1,97,South
S027,Staff_027,senior,95,69,6,4,83,South
S028,Staff_028,senior,112,80,2,1,92,City
S029,Staff_029,junior,89,57,6,4,65,North
S030,Staff_030,senior,104,74,4,2,89,North
S031,Staff_031,junior,88,71,2,1,90,North
S032,Staff_032,junior,115,73,2,1,88,North
S033,Staff_033,senior,89,73,2,1,87,North
S034,Staff_034,senior,65,53,5,3,59,City
S035,Staff_035,junior,90,85,2,1,92,City
S036,Staff_036,senior,62,52,6,4,67,City
S037,Staff_037,junior,77,56,3,1,68,North
S038,Staff_038,junior,97,78,3,1,85,South
S039,Staff_039,senior,79,67,5,3,79,North
S040,Staff_040,junior,103,65,4,2,74,North
S041,Staff_041,senior,119,85,3,1,104,North
S042,Staff_042,junior,97,78,2,1,89,South
S043,Staff_043,junior,91,58,5,3,71,North
S044,Staff_044,senior,120,78,2,1,96,City
S045,Staff_045,junior,102,69,6,4,81,City
S046,Staff_046,senior,86,58,6,4,70,City
S047,Staff_047,senior,71,65,2,1,78,North
S048,Staff_048,senior,97,54,6,4,59,South
S049,Staff_049,junior,113,55,4,2,67,North
S050,Staff_050,junior,107,83,5,3,96,North
S051,Staff_051,senior,111,51,3,1,59,City
S052,Staff_052,senior,111,51,4,2,71,South
S053,Staff_053,senior,75,59,3,1,66,South
S054,Staff_054,senior,61,50,2,1,56,South
S055,Staff_055,junior,94,79,2,1,85,City
S056,Staff_056,senior,104,81,4,2,97,North
S057,Staff_057,senior,120,59,2,1,65,City
S058,Staff_058,senior,119,61,2,1,76,North
S059,Staff_059,senior,76,70,5,3,78,South
S060,Staff_060,junior,62,52,4,2,69,North
S061,Staff_061,junior,73,67,5,3,74,City
S062,Staff_062,senior,74,69,3,1,79,City
S063,Staff_063,senior,70,52,3,1,65,City
S064,Staff_064,junior,101,81,6,4,99,City
S065,Staff_065,junior,98,83,5,3,99,South
S066,Staff_066,junior,80,66,3,1,77,City
S067,Staff_067,junior,104,66,4,2,84,North
S068,Staff_068,junior,104,94,6,4,101,South
S069,Staff_069,senior,92,51,6,4,70,South
S070,Staff_070,senior,93,86,4,2,105,North
S071,Staff_071,senior,66,57,3,1,74,City
S072,Staff_072,junior,104,98,5,3,109,City
S073,Staff_073,junior,107,55,4,2,64,North
S074,Staff_074,senior,83,70,2,1,90,City
S075,Staff_075,junior,95,51,5,3,61,North
S076,Staff_076,senior,116,78,3,1,91,City
S077,Staff_077,senior,113,71,4,2,91,North
S078,Staff_078,senior,99,75,5,3,80,City
S079,Staff_079,junior,83,55,3,1,60,City
S080,Staff_080,junior,107,68,2,1,84,South
