task_id,module,hours,period,slot_type,campus,day,type,must_assign,pred_hours_p50,pred_hours_p80
T0001,M01,10,T2,midday,South,Thu,teaching,1,8.000053122797777,10.000053122797777
T0002,M01,12,T1,morning,South,Wed,teaching,1,8.879236054546913,12.0
T0003,M01,8,T1,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0004,M02,12,T2,morning,North,Fri,teaching,1,10.0,12.0
T0005,M02,12,T2,evening,South,Fri,admin,1,10.0,12.0
T0006,M02,6,T2,evening,North,Thu,teaching,1,8.000053122797777,9.600053122797775
T0007,M03,8,T3,midday,City,Wed,teaching,1,8.879236054546913,12.0
T0008,M03,12,T2,midday,North,Wed,teaching,1,8.879236054546913,12.0
T0009,M03,8,T2,midday,City,Tue,admin,1,10.0,12.0
T0010,M04,12,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0011,M04,10,T1,morning,City,Wed,admin,1,8.879236054546913,12.0
T0012,M04,8,T3,morning,South,Mon,admin,1,10.0,12.0
T0013,M05,6,T2,morning,South,Wed,teaching,1,8.879236054546913,12.0
T0014,M05,10,T2,midday,South,Mon,teaching,1,10.0,12.0
T0015,M05,10,T1,midday,North,Wed,teaching,1,8.879236054546913,12.0
T0016,M06,12,T1,morning,City,Wed,teaching,1,8.879236054546913,12.0
T0017,M06,6,T3,midday,North,Mon,teaching,1,10.0,12.0
T0018,M06,6,T3,morning,North,Fri,teaching,1,10.0,12.0
T0019,M07,6,T2,evening,South,Thu,teaching,1,8.000053122797777,10.000053122797777
T0020,M07,12,T3,morning,City,Mon,teaching,1,10.0,12.0
T0021,M07,8,T2,midday,City,Tue,teaching,1,10.0,12.0
T0022,M08,12,T3,morning,North,Tue,admin,1,10.0,12.0
T0023,M08,8,T2,morning,South,Mon,teaching,1,10.0,12.0
T0024,M08,6,T3,midday,South,Tue,admin,1,10.0,12.0
T0025,M09,12,T3,evening,South,Mon,admin,1,10.0,12.0
T0026,M09,6,T3,morning,North,Fri,teaching,1,10.0,12.0
T0027,M09,10,T1,evening,City,Tue,teaching,1,10.0,12.0
T0028,M10,12,T3,morning,South,Thu,teaching,1,8.000053122797777,12.0
T0029,M10,12,T2,morning,South,Fri,teaching,1,10.0,12.0
T0030,M10,12,T1,midday,North,Tue,teaching,1,10.0,12.0
T0031,M11,8,T3,evening,North,Wed,teaching,1,8.000053122797777,12.0
T0032,M11,10,T1,morning,North,Thu,teaching,1,10.0,10.000053122797777
T0033,M11,8,T2,morning,City,Thu,teaching,1,8.000053122797777,10.000053122797777
T0034,M12,12,T2,morning,South,Tue,teaching,1,10.0,12.0
T0035,M12,6,T3,morning,North,Wed,admin,1,8.879236054546913,12.0
T0036,M12,8,T3,morning,City,Thu,teaching,1,8.000053122797777,9.620053122797778
T0037,M13,6,T2,morning,South,Mon,teaching,1,10.0,12.0
T0038,M13,8,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0039,M13,6,T2,morning,City,Mon,admin,1,10.0,12.0
T0040,M14,12,T2,morning,City,Wed,teaching,1,8.879236054546913,12.0
T0041,M14,8,T1,morning,South,Tue,teaching,1,10.0,12.0
T0042,M14,6,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0043,M15,6,T3,morning,North,Mon,teaching,1,10.0,12.0
T0044,M15,10,T1,morning,South,Fri,teaching,1,10.0,12.0
T0045,M15,12,T3,midday,South,Mon,teaching,1,10.0,12.0
T0046,M16,8,T1,morning,South,Tue,admin,1,10.0,12.0
T0047,M16,10,T2,morning,North,Fri,teaching,1,10.0,12.0
T0048,M16,10,T1,evening,City,Thu,teaching,1,10.0,10.000053122797777
T0049,M17,12,T3,morning,City,Fri,teaching,1,10.0,12.0
T0050,M17,8,T2,morning,South,Wed,teaching,1,8.879236054546913,12.0
T0051,M17,12,T3,midday,South,Wed,teaching,1,8.879236054546913,12.0
T0052,M18,10,T1,midday,North,Tue,teaching,1,10.0,12.0
T0053,M18,8,T1,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0054,M18,10,T2,midday,City,Fri,teaching,1,10.0,12.0
T0055,M19,12,T3,morning,City,Wed,teaching,1,8.879236054546913,12.0
T0056,M19,10,T2,morning,North,Tue,admin,1,10.0,12.0
T0057,M19,6,T3,evening,City,Wed,teaching,1,8.000053122797777,12.0
T0058,M20,10,T1,midday,City,Fri,admin,1,10.0,12.0
T0059,M20,8,T3,morning,South,Thu,teaching,1,8.000053122797777,10.000053122797777
T0060,M20,10,T1,midday,South,Wed,admin,1,8.879236054546913,12.0
T0061,M21,10,T2,morning,North,Tue,teaching,1,10.0,12.0
T0062,M21,10,T1,midday,North,Tue,admin,1,10.0,12.0
T0063,M21,10,T3,morning,South,Wed,teaching,1,8.879236054546913,12.0
T0064,M22,10,T3,midday,North,Thu,teaching,1,8.000053122797777,10.000053122797777
T0065,M22,10,T3,evening,South,Wed,teaching,1,8.000053122797777,12.0
T0066,M22,6,T1,evening,City,Mon,teaching,1,8.000080967532046,12.0
T0067,M23,12,T3,morning,South,Tue,teaching,1,10.0,12.0
T0068,M23,8,T1,morning,South,Mon,teaching,1,6.785942967532047,12.0
T0069,M23,6,T1,midday,City,Mon,teaching,1,6.785942967532047,12.0
T0070,M24,12,T3,midday,North,Tue,teaching,1,10.0,12.0
T0071,M24,12,T3,morning,South,Thu,teaching,1,8.000053122797777,10.000053122797777
T0072,M24,10,T3,evening,North,Thu,teaching,1,8.000053122797777,10.000053122797777
T0073,M25,8,T1,morning,City,Wed,teaching,1,8.879236054546913,12.0
T0074,M25,8,T2,morning,South,Tue,teaching,1,10.0,12.0
T0075,M25,12,T3,morning,South,Tue,teaching,1,10.0,12.0
T0076,M26,8,T1,midday,South,Fri,admin,1,10.0,12.0
T0077,M26,12,T1,morning,South,Tue,teaching,1,10.0,12.0
T0078,M26,10,T3,midday,North,Tue,teaching,1,10.0,12.0
T0079,M27,10,T1,midday,North,Thu,teaching,1,10.0,10.000053122797777
T0080,M27,10,T1,morning,North,Tue,teaching,1,10.0,12.0
T0081,M27,8,T3,evening,South,Fri,teaching,1,10.0,12.0
T0082,M28,6,T1,morning,City,Wed,teaching,1,7.999979671983566,12.0
T0083,M28,10,T1,morning,South,Thu,teaching,1,10.0,10.000053122797777
T0084,M28,8,T3,morning,North,Wed,teaching,1,7.999979671983566,12.0
T0085,M29,10,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0
T0086,M29,10,T1,morning,North,Thu,admin,1,10.0,10.000053122797777
T0087,M29,6,T2,evening,South,Tue,teaching,1,10.0,12.0
T0088,M30,8,T3,morning,North,Mon,teaching,1,10.0,12.0
T0089,M30,12,T2,morning,City,Wed,admin,1,8.879236054546913,12.0
T0090,M30,8,T3,morning,North,Mon,teaching,1,10.0,12.0
T0091,M31,12,T3,midday,City,Wed,teaching,1,8.879236054546913,12.0
T0092,M31,12,T1,evening,City,Wed,teaching,1,8.000053122797777,12.0
T0093,M31,8,T3,morning,City,Thu,teaching,1,8.000053122797777,10.000053122797777
T0094,M32,10,T3,morning,North,Fri,admin,1,10.0,12.0
T0095,M32,8,T2,midday,North,Fri,teaching,1,10.0,12.0
T0096,M32,12,T1,midday,South,Fri,teaching,1,10.0,12.0
T0097,M33,12,T2,morning,North,Mon,teaching,1,10.0,12.0
T0098,M33,12,T1,midday,City,Fri,admin,1,10.0,12.0
T0099,M33,6,T2,midday,City,Wed,teaching,1,8.879236054546913,12.0
T0100,M34,10,T2,morning,North,Tue,teaching,1,10.0,12.0
T0101,M34,12,T3,midday,South,Tue,teaching,1,10.0,12.0
T0102,M34,8,T3,evening,City,Wed,teaching,1,8.000053122797777,12.0
T0103,M35,8,T1,morning,South,Mon,teaching,1,8.000080967532046,12.0
T0104,M35,12,T1,evening,North,Mon,teaching,1,8.000080967532046,12.0
T0105,M35,10,T1,morning,South,Fri,teaching,1,10.0,12.0
T0106,M36,10,T3,midday,City,Fri,teaching,1,10.0,12.0
T0107,M36,6,T2,morning,City,Thu,teaching,1,8.000053122797777,9.600053122797778
T0108,M36,6,T1,morning,South,Mon,admin,1,8.000080967532046,12.0
T0109,M37,6,T2,midday,City,Fri,teaching,1,10.0,12.0
T0110,M37,8,T3,evening,South,Tue,teaching,1,10.0,12.0
T0111,M37,8,T3,midday,South,Tue,teaching,1,10.0,12.0
T0112,M38,12,T1,morning,City,Tue,teaching,1,10.0,12.0
T0113,M38,8,T3,midday,North,Thu,teaching,1,8.000053122797777,9.620053122797778
T0114,M38,8,T1,evening,North,Wed,teaching,1,8.000053122797777,12.0
T0115,M39,8,T1,midday,North,Wed,teaching,1,8.000053122797777,12.0
T0116,M39,8,T3,morning,South,Wed,teaching,1,8.000053122797777,12.0
T0117,M39,10,T2,evening,North,Fri,admin,1,10.0,12.0
T0118,M40,8,T2,evening,South,Wed,teaching,1,8.000053122797777,12.0
T0119,M40,12,T1,midday,City,Fri,admin,1,10.0,12.0
T0120,M40,6,T1,evening,North,Tue,admin,1,10.0,12.0
