task_id,staff_id,eligible,penalty
T0003,S001,1,1.0
T0003,S003,1,0.5
T0003,S007,1,1.0
T0003,S008,1,0.0
T0003,S012,1,1.5
T0003,S014,1,0.0
T0003,S015,1,0.0
T0003,S020,1,1.5
T0014,S004,1,0.5
T0014,S005,1,0.0
T0014,S009,1,1.5
T0014,S010,1,0.0
T0014,S012,1,0.5
T0014,S018,1,1.0
T0014,S019,1,0.5
T0014,S024,1,0.5
T0016,S004,1,0.5
T0016,S008,1,0.0
T0016,S010,1,1.5
T0016,S011,1,0.5
T0016,S013,1,0.5
T0016,S020,1,0.0
T0016,S023,1,3.0
T0029,S001,1,0.5
T0029,S018,1,1.5
T0029,S019,1,1.5
T0038,S001,1,0.5
T0038,S002,1,1.0
T0038,S005,1,0.5
T0038,S006,1,0.0
T0038,S007,1,3.0
T0038,S008,1,1.0
T0038,S009,1,0.0
T0038,S010,1,0.0
T0038,S011,1,0.5
T0038,S013,1,0.5
T0038,S014,1,0.5
T0038,S015,1,1.5
T0038,S017,1,1.5
T0038,S020,1,0.0
T0038,S021,1,0.5
T0038,S022,1,1.0
T0038,S025,1,0.5
T0041,S006,1,1.5
T0041,S007,1,3.0
T0041,S011,1,0.5
T0041,S012,1,3.0
T0041,S016,1,1.0
T0041,S017,1,1.5
T0041,S018,1,1.5
T0041,S023,1,0.5
T0041,S025,1,0.0
T0047,S003,1,1.5
T0047,S007,1,0.0
T0047,S011,1,0.0
T0047,S012,1,1.0
T0047,S014,1,1.0
T0047,S015,1,0.0
T0047,S018,1,1.5
T0047,S019,1,1.5
T0047,S025,1,1.0
T0054,S001,1,3.0
T0054,S003,1,0.5
T0054,S008,1,0.0
T0054,S011,1,1.0
T0054,S016,1,1.5
T0054,S017,1,1.0
T0054,S018,1,1.5
T0054,S021,1,0.0
T0054,S023,1,0.5
T0057,S005,1,1.5
T0057,S009,1,0.5
T0057,S011,1,1.0
T0057,S012,1,0.5
T0057,S013,1,0.0
T0057,S016,1,1.0
T0057,S017,1,1.5
T0057,S019,1,1.5
T0057,S021,1,1.5
T0057,S022,1,1.0
T0057,S023,1,0.5
T0001,S001,1,0.5
T0002,S014,1,0.0
T0004,S003,1,0.0
T0005,S021,1,0.0
T0006,S021,1,0.0
T0007,S009,1,0.5
T0008,S003,1,1.0
T0009,S009,1,0.0
T0010,S004,1,0.5
T0011,S012,1,0.5
T0012,S004,1,0.5
T0013,S005,1,0.5
T0015,S004,1,0.5
T0017,S008,1,0.0
T0018,S013,1,1.0
T0019,S011,1,0.0
T0020,S001,1,0.5
T0021,S015,1,0.5
T0022,S022,1,0.0
T0023,S022,1,0.5
T0024,S017,1,0.0
T0025,S010,1,0.5
T0026,S016,1,0.5
T0027,S018,1,0.5
T0028,S001,1,0.0
T0030,S018,1,0.0
T0031,S002,1,0.5
T0032,S021,1,0.0
T0033,S016,1,0.0
T0034,S019,1,0.0
T0035,S025,1,0.5
T0036,S024,1,0.0
T0037,S020,1,0.5
T0039,S025,1,0.0
T0040,S006,1,0.0
T0042,S006,1,0.0
T0043,S025,1,0.5
T0044,S023,1,0.0
T0045,S022,1,0.5
T0046,S012,1,0.0
T0048,S015,1,0.0
T0049,S002,1,0.0
T0050,S002,1,0.0
T0051,S019,1,0.0
T0052,S008,1,0.0
T0053,S017,1,0.0
T0055,S023,1,0.5
T0056,S019,1,0.0
T0058,S020,1,0.0
T0059,S007,1,0.5
T0060,S007,1,0.5
