staff_id,period,available
S001,T1,1
S001,T2,1
S001,T3,1
S002,T1,1
S002,T2,1
S002,T3,1
S003,T1,1
S003,T2,1
S003,T3,0
S004,T1,1
S004,T2,1
S004,T3,1
S005,T1,1
S005,T2,1
S005,T3,0
S006,T1,1
S006,T2,1
S006,T3,1
S007,T1,1
S007,T2,1
S007,T3,0
S008,T1,1
S008,T2,1
S008,T3,0
S009,T1,1
S009,T2,0
S009,T3,1
S010,T1,1
S010,T2,1
S010,T3,1
S011,T1,1
S011,T2,1
S011,T3,1
S012,T1,0
S012,T2,1
S012,T3,1
S013,T1,1
S013,T2,1
S013,T3,0
S014,T1,0
S014,T2,1
S014,T3,1
S015,T1,0
S015,T2,1
S015,T3,1
S016,T1,0
S016,T2,1
S016,T3,1
S017,T1,1
S017,T2,1
S017,T3,1
S018,T1,1
S018,T2,1
S018,T3,1
S019,T1,1
S019,T2,1
S019,T3,1
S020,T1,1
S020,T2,1
S020,T3,1
S021,T1,1
S021,T2,1
S021,T3,1
S022,T1,1
S022,T2,1
S022,T3,1
S023,T1,0
S023,T2,1
S023,T3,1
S024,T1,1
S024,T2,1
S024,T3,0
S025,T1,1
S025,T2,1
S025,T3,1
