staff_id,slot_type,limit
S001,morning,999
S001,midday,999
S001,evening,3
S002,morning,999
S002,midday,999
S002,evening,3
S003,morning,999
S003,midday,999
S003,evening,3
S004,morning,999
S004,midday,999
S004,evening,4
S005,morning,999
S005,midday,999
S005,evening,3
S006,morning,999
S006,midday,999
S006,evening,3
S007,morning,999
S007,midday,999
S007,evening,2
S008,morning,999
S008,midday,999
S008,evening,4
S009,morning,999
S009,midday,999
S009,evening,2
S010,morning,999
S010,midday,999
S010,evening,2
S011,morning,999
S011,midday,999
S011,evening,2
S012,morning,999
S012,midday,999
S012,evening,2
S013,morning,999
S013,midday,999
S013,evening,2
S014,morning,999
S014,midday,999
S014,evening,3
S015,morning,999
S015,midday,999
S015,evening,3
S016,morning,999
S016,midday,999
S016,evening,4
S017,morning,999
S017,midday,999
S017,evening,2
S018,morning,999
S018,midday,999
S018,evening,2
S019,morning,999
S019,midday,999
S019,evening,3
S020,morning,999
S020,midday,999
S020,evening,3
S021,morning,999
S021,midday,999
S021,evening,4
S022,morning,999
S022,midday,999
S022,evening,3
S023,morning,999
S023,midday,999
S023,evening,2
S024,morning,999
S024,midday,999
S024,evening,3
S025,morning,999
S025,midday,999
S025,evening,4
