task_id,staff_id,eligible,penalty
T0001,S001,1,0.5
T0001,S003,1,0.5
T0001,S007,1,1.0
T0001,S008,1,1.0
T0001,S012,1,0.5
T0001,S014,1,0.5
T0001,S015,1,0.5
T0001,S020,1,0.0
T0001,S022,1,3.0
T0001,S024,1,3.0
T0001,S025,1,3.0
T0002,S001,1,0.5
T0002,S003,1,0.0
T0002,S007,1,0.5
T0002,S008,1,1.0
T0002,S012,1,1.5
T0002,S014,1,0.0
T0002,S015,1,0.0
T0002,S020,1,1.5
T0003,S001,1,1.0
T0003,S003,1,0.5
T0003,S007,1,1.0
T0003,S008,1,0.0
T0003,S012,1,1.5
T0003,S014,1,0.0
T0003,S015,1,0.0
T0003,S020,1,1.5
T0004,S002,1,1.0
T0004,S003,1,0.0
T0004,S005,1,1.5
T0004,S007,1,1.0
T0004,S008,1,1.5
T0004,S011,1,1.5
T0004,S012,1,1.0
T0004,S015,1,0.5
T0004,S017,1,1.0
T0004,S018,1,0.0
T0004,S020,1,1.5
T0004,S021,1,1.5
T0004,S022,1,0.5
T0004,S023,1,1.0
T0005,S002,1,0.5
T0005,S003,1,0.5
T0005,S005,1,1.5
T0005,S007,1,1.0
T0005,S008,1,0.0
T0005,S011,1,0.5
T0005,S012,1,1.0
T0005,S015,1,1.5
T0005,S017,1,1.0
T0005,S018,1,0.0
T0005,S020,1,1.0
T0005,S021,1,0.0
T0005,S022,1,1.0
T0005,S023,1,0.0
T0005,S024,1,3.0
T0006,S002,1,1.5
T0006,S003,1,0.5
T0006,S005,1,1.5
T0006,S007,1,1.0
T0006,S008,1,1.5
T0006,S011,1,1.0
T0006,S012,1,0.5
T0006,S015,1,0.0
T0006,S017,1,0.0
T0006,S018,1,1.5
T0006,S020,1,1.0
T0006,S021,1,0.0
T0006,S022,1,1.5
T0006,S023,1,0.0
T0007,S003,1,0.0
T0007,S005,1,1.5
T0007,S007,1,0.5
T0007,S009,1,0.5
T0007,S013,1,0.5
T0007,S017,1,0.0
T0007,S025,1,3.0
T0008,S003,1,1.0
T0008,S005,1,0.5
T0008,S007,1,0.5
T0008,S009,1,1.5
T0008,S013,1,1.0
T0008,S017,1,1.5
T0009,S003,1,0.5
T0009,S005,1,1.5
T0009,S007,1,1.0
T0009,S009,1,0.0
T0009,S012,1,3.0
T0009,S013,1,1.5
T0009,S017,1,1.5
T0010,S001,1,1.0
T0010,S002,1,0.0
T0010,S004,1,0.5
T0010,S005,1,3.0
T0010,S010,1,1.0
T0010,S012,1,0.0
T0010,S014,1,1.5
T0010,S017,1,1.0
T0010,S018,1,3.0
T0010,S021,1,0.0
T0010,S022,1,1.5
T0010,S023,1,0.5
T0010,S024,1,0.0
T0011,S001,1,1.5
T0011,S002,1,0.5
T0011,S004,1,1.0
T0011,S010,1,0.0
T0011,S012,1,0.5
