staff_id,task_id,pref_score
S025,T0001,0.624
S022,T0001,0.878
S003,T0001,0.941
S001,T0001,0.892
S012,T0001,0.743
S011,T0002,0.914
S008,T0002,0.685
S012,T0002,0.617
S013,T0002,0.729
S001,T0002,0.853
S017,T0003,0.682
S022,T0003,0.909
S012,T0003,0.661
S015,T0003,0.652
S021,T0003,0.689
S016,T0004,0.829
S008,T0004,0.691
S011,T0004,0.783
S006,T0004,0.689
S022,T0004,0.907
S006,T0005,0.715
S010,T0005,0.854
S008,T0005,0.836
S003,T0005,0.877
S017,T0005,0.789
S003,T0006,0.755
S022,T0006,0.616
S025,T0006,0.795
S017,T0006,0.648
S008,T0006,0.834
S003,T0007,0.874
S013,T0007,0.718
S005,T0007,0.877
S014,T0007,0.733
S022,T0007,0.7
S019,T0008,0.618
S024,T0008,0.612
S003,T0008,0.934
S016,T0008,0.749
S001,T0008,0.655
S003,T0009,0.926
S007,T0009,0.72
S006,T0009,0.926
S016,T0009,0.65
S008,T0009,0.85
S002,T0010,0.837
S007,T0010,0.909
S008,T0010,0.854
S005,T0010,0.932
S023,T0010,0.759
S012,T0011,0.929
S024,T0011,0.625
S004,T0011,0.665
S009,T0011,0.722
S005,T0011,0.617
S010,T0012,0.696
S011,T0012,0.783
S006,T0012,0.886
S019,T0012,0.755
S004,T0012,0.881
S009,T0013,0.627
S003,T0013,0.708
S021,T0013,0.866
S008,T0013,0.923
S001,T0013,0.776
S006,T0014,0.703
S011,T0014,0.877
S021,T0014,0.94
S019,T0014,0.761
S004,T0014,0.811
S016,T0015,0.93
S015,T0015,0.942
S002,T0015,0.609
S007,T0015,0.867
S005,T0015,0.74
S002,T0016,0.888
S010,T0016,0.936
S006,T0016,0.608
S013,T0016,0.748
S024,T0016,0.937
S020,T0017,0.664
S021,T0017,0.605
S003,T0017,0.707
S015,T0017,0.615
S001,T0017,0.691
S020,T0018,0.688
S018,T0018,0.86
S012,T0018,0.658
S023,T0018,0.65
S016,T0018,0.803
S020,T0019,0.69
S014,T0019,0.932
S018,T0019,0.772
S019,T0019,0.837
S015,T0019,0.818
S022,T0020,0.945
S006,T0020,0.701
S015,T0020,0.66
S017,T0020,0.853
S018,T0020,0.682
S019,T0021,0.699
S013,T0021,0.634
S006,T0021,0.841
S023,T0021,0.721
S011,T0021,0.796
S016,T0022,0.84
