staff_id,module,qualified
S001,M07,1
S001,M13,1
S001,M01,1
S001,M04,1
S001,M20,1
S001,M10,1
S001,M11,1
S002,M12,1
S002,M04,1
S002,M17,1
S002,M11,1
S002,M07,1
S002,M13,1
S002,M02,1
S002,M08,1
S003,M01,1
S003,M02,1
S003,M18,1
S003,M17,1
S003,M16,1
S003,M03,1
S004,M06,1
S004,M04,1
S004,M07,1
S004,M20,1
S004,M17,1
S004,M05,1
S004,M11,1
S005,M19,1
S005,M02,1
S005,M05,1
S005,M15,1
S005,M03,1
S005,M13,1
S006,M11,1
S006,M13,1
S006,M15,1
S006,M14,1
S006,M12,1
S006,M07,1
S007,M20,1
S007,M12,1
S007,M01,1
S007,M02,1
S007,M07,1
S007,M03,1
S007,M16,1
S008,M12,1
S008,M20,1
S008,M13,1
S008,M07,1
S008,M06,1
S008,M02,1
S008,M09,1
S008,M18,1
S008,M01,1
S009,M03,1
S009,M13,1
S009,M07,1
S009,M17,1
S009,M11,1
S009,M19,1
S009,M15,1
S009,M05,1
S010,M04,1
S010,M06,1
S010,M13,1
S010,M05,1
S010,M11,1
S010,M15,1
S010,M09,1
S010,M12,1
S011,M14,1
S011,M06,1
S011,M13,1
S011,M07,1
S011,M19,1
S011,M02,1
S011,M18,1
S011,M16,1
S012,M16,1
S012,M04,1
S012,M01,1
S012,M12,1
S012,M02,1
S012,M19,1
S012,M05,1
S012,M11,1
S013,M11,1
S013,M07,1
S013,M13,1
S013,M06,1
S013,M03,1
S013,M19,1
S013,M09,1
S013,M08,1
S014,M04,1
S014,M13,1
S014,M01,1
S014,M20,1
S014,M17,1
S014,M12,1
S014,M16,1
S015,M15,1
S015,M13,1
S015,M17,1
S015,M02,1
S015,M07,1
S015,M11,1
S015,M16,1
S015,M01,1
S016,M09,1
S016,M20,1
S016,M19,1
S016,M11,1
S016,M14,1
S016,M18,1
S017,M04,1
S017,M15,1
S017,M03,1
S017,M02,1
S017,M13,1
S017,M19,1
S017,M18,1
S017,M07,1
S017,M08,1
S017,M14,1
S018,M18,1
S018,M02,1
S018,M14,1
S018,M16,1
S018,M20,1
S018,M05,1
S018,M09,1
S018,M07,1
S018,M10,1
S019,M12,1
S019,M17,1
S019,M10,1
S019,M16,1
S019,M09,1
S019,M19,1
S019,M05,1
S019,M11,1
S020,M01,1
S020,M20,1
S020,M08,1
S020,M02,1
S020,M06,1
S020,M07,1
S020,M13,1
S020,M11,1
S021,M02,1
S021,M11,1
S021,M13,1
S021,M20,1
S021,M19,1
S021,M17,1
S021,M18,1
S021,M04,1
S021,M07,1
S022,M09,1
S022,M08,1
S022,M02,1
S022,M17,1
S022,M04,1
S022,M15,1
S022,M13,1
S022,M12,1
S022,M19,1
S023,M08,1
S023,M04,1
S023,M02,1
S023,M14,1
S023,M15,1
S023,M18,1
S023,M19,1
S024,M12,1
S024,M17,1
S024,M05,1
S024,M04,1
S024,M20,1
S024,M08,1
S025,M14,1
S025,M15,1
S025,M09,1
S025,M20,1
S025,M12,1
S025,M13,1
S025,M16,1
