staff_id,slot_type,cost
S001,morning,0.0
S001,midday,0.0
S001,evening,1.0
S002,morning,0.0
S002,midday,0.0
S002,evening,1.0
S003,morning,0.0
S003,midday,0.0
S003,evening,1.0
S004,morning,0.0
S004,midday,0.0
S004,evening,1.0
S005,morning,0.0
S005,midday,0.0
S005,evening,1.0
S006,morning,0.0
S006,midday,0.0
S006,evening,1.0
S007,morning,0.0
S007,midday,0.0
S007,evening,1.0
S008,morning,0.0
S008,midday,0.0
S008,evening,1.0
S009,morning,0.0
S009,midday,0.0
S009,evening,1.0
S010,morning,0.0
S010,midday,0.0
S010,evening,1.0
S011,morning,0.0
S011,midday,0.0
S011,evening,1.0
S012,morning,0.0
S012,midday,0.0
S012,evening,1.0
S013,morning,0.0
S013,midday,0.0
S013,evening,1.0
S014,morning,0.0
S014,midday,0.0
S014,evening,1.0
S015,morning,0.0
S015,midday,0.0
S015,evening,1.0
S016,morning,0.0
S016,midday,0.0
S016,evening,1.0
S017,morning,0.0
S017,midday,0.0
S017,evening,1.0
S018,morning,0.0
S018,midday,0.0
S018,evening,1.0
S019,morning,0.0
S019,midday,0.0
S019,evening,1.0
S020,morning,0.0
S020,midday,0.0
S020,evening,1.0
S021,morning,0.0
S021,midday,0.0
S021,evening,1.0
S022,morning,0.0
S022,midday,0.0
S022,evening,1.0
S023,morning,0.0
S023,midday,0.0
S023,evening,1.0
S024,morning,0.0
S024,midday,0.0
S024,evening,1.0
S025,morning,0.0
S025,midday,0.0
S025,evening,1.0
