staff_id,load
S001,8.0
S002,30.0
S003,18.0
S004,24.0
S005,20.0
S006,6.0
S007,16.0
S008,8.0
S009,30.0
S010,22.0
S011,34.0
S012,18.0
S013,8.0
S014,20.0
S015,20.0
S016,26.0
S017,20.0
S018,24.0
S019,16.0
S020,14.0
S021,6.0
S022,28.0
S023,8.0
S024,18.0
S025,16.0
S026,24.0
S027,10.0
S028,6.0
S029,18.0
S030,10.0
S031,0.0
S032,6.0
S033,12.0
S034,22.0
S035,0.0
S036,26.0
S037,12.0
S038,16.0
S039,12.0
S040,24.0
S041,12.0
S042,10.0
S043,20.0
S044,10.0
S045,16.0
S046,18.0
S047,6.0
S048,12.0
S049,24.0
S050,28.0
S051,20.0
S052,14.0
S053,12.0
S054,8.0
S055,6.0
S056,6.0
S057,0.0
S058,12.0
S059,16.0
S060,10.0
S061,18.0
S062,10.0
S063,12.0
S064,10.0
S065,8.0
S066,6.0
S067,0.0
S068,10.0
S069,0.0
S070,14.0
S071,12.0
S072,12.0
S073,12.0
S074,10.0
S075,22.0
S076,10.0
S077,12.0
S078,0.0
S079,8.0
S080,8.0
