task_id,staff_id,hours,module,period
T0001,S020,8.000053122797777,M01,T2
T0002,S049,8.879236054546913,M01,T1
T0003,S019,8.879236054546913,M01,T1
T0004,S015,10.0,M02,T2
T0005,S014,10.0,M02,T2
T0006,S044,8.000053122797777,M02,T2
T0007,S015,8.879236054546913,M03,T3
T0008,S080,8.879236054546913,M03,T2
T0009,S012,10.0,M03,T2
T0010,S022,8.879236054546913,M04,T3
T0011,S022,8.879236054546913,M04,T1
T0012,S033,10.0,M04,T3
T0013,S006,8.879236054546913,M05,T2
T0014,S017,10.0,M05,T2
T0015,S014,8.879236054546913,M05,T1
T0016,S037,8.879236054546913,M06,T1
T0017,S051,10.0,M06,T3
T0018,S003,10.0,M06,T3
T0019,S067,8.000053122797777,M07,T2
T0020,S030,10.0,M07,T3
T0021,S021,10.0,M07,T2
T0022,S004,10.0,M08,T3
T0023,S046,10.0,M08,T2
T0024,S028,10.0,M08,T3
T0025,S063,10.0,M09,T3
T0026,S048,10.0,M09,T3
T0027,S040,10.0,M09,T1
T0028,S040,8.000053122797777,M10,T3
T0029,S034,10.0,M10,T2
T0030,S034,10.0,M10,T1
T0031,S016,8.000053122797777,M11,T3
T0032,S016,10.0,M11,T1
T0033,S016,8.000053122797777,M11,T2
T0034,S041,10.0,M12,T2
T0035,S057,8.879236054546913,M12,T3
T0036,S041,8.000053122797777,M12,T3
T0037,S066,10.0,M13,T2
T0038,S045,8.879236054546913,M13,T3
T0039,S052,10.0,M13,T2
T0040,S039,8.879236054546913,M14,T2
T0041,S007,10.0,M14,T1
T0042,S011,8.879236054546913,M14,T3
T0043,S018,10.0,M15,T3
T0044,S039,10.0,M15,T1
T0045,S071,10.0,M15,T3
T0046,S001,10.0,M16,T1
T0047,S010,10.0,M16,T2
T0048,S073,10.0,M16,T1
T0049,S072,10.0,M17,T3
T0050,S005,8.879236054546913,M17,T2
T0051,S005,8.879236054546913,M17,T3
T0052,S011,10.0,M18,T1
T0053,S070,8.879236054546913,M18,T1
T0054,S068,10.0,M18,T2
T0055,S052,8.879236054546913,M19,T3
T0056,S002,10.0,M19,T2
T0057,S002,8.000053122797777,M19,T3
T0058,S012,10.0,M20,T1
T0059,S031,8.000053122797777,M20,T3
T0060,S017,8.879236054546913,M20,T1
T0061,S042,10.0,M21,T2
T0062,S050,10.0,M21,T1
T0063,S050,8.879236054546913,M21,T3
T0064,S025,8.000053122797777,M22,T3
T0065,S076,8.000053122797777,M22,T3
T0066,S025,8.000080967532046,M22,T1
T0067,S007,10.0,M23,T3
T0068,S035,6.785942967532047,M23,T1
T0069,S002,6.785942967532047,M23,T1
T0070,S046,10.0,M24,T3
T0071,S064,8.000053122797777,M24,T3
T0072,S009,8.000053122797777,M24,T3
T0073,S048,8.879236054546913,M25,T1
T0074,S061,10.0,M25,T2
T0075,S013,10.0,M25,T3
T0076,S055,10.0,M26,T1
T0077,S018,10.0,M26,T1
T0078,S036,10.0,M26,T3
T0079,S006,10.0,M27,T1
T0080,S061,10.0,M27,T1
T0081,S006,10.0,M27,T3
T0082,S043,7.999979671983566,M28,T1
T0083,S036,10.0,M28,T1
T0084,S034,7.999979671983566,M28,T3
T0085,S075,8.879236054546913,M29,T3
T0086,S044,10.0,M29,T1
T0087,S045,10.0,M29,T2
T0088,S061,10.0,M30,T3
T0089,S026,8.879236054546913,M30,T2
T0090,S026,10.0,M30,T3
T0091,S049,8.879236054546913,M31,T3
T0092,S053,8.000053122797777,M31,T1
T0093,S059,8.000053122797777,M31,T3
T0094,S062,10.0,M32,T3
T0095,S008,10.0,M32,T2
T0096,S075,10.0,M32,T1
T0097,S079,10.0,M33,T2
T0098,S027,10.0,M33,T1
T0099,S011,8.879236054546913,M33,T2
T0100,S024,10.0,M34,T2
T0101,S032,10.0,M34,T3
T0102,S054,8.000053122797777,M34,T3
T0103,S003,8.000080967532046,M35,T1
T0104,S074,8.000080967532046,M35,T1
T0105,S030,10.0,M35,T1
T0106,S060,10.0,M36,T3
T0107,S018,8.000053122797777,M36,T2
T0108,S058,8.000080967532046,M36,T1
T0109,S056,10.0,M37,T2
T0110,S029,10.0,M37,T3
T0111,S020,10.0,M37,T3
T0112,S005,10.0,M38,T1
T0113,S038,8.000053122797777,M38,T3
T0114,S038,8.000053122797777,M38,T1
T0115,S009,8.000053122797777,M39,T1
T0116,S023,8.000053122797777,M39,T3
T0117,S009,10.0,M39,T2
T0118,S050,8.000053122797777,M40,T2
T0119,S004,10.0,M40,T1
T0120,S024,10.0,M40,T1
