task_id,module,hours,period,slot_type,campus,day,type,must_assign,pred_hours_p50,pred_hours_p80,allocated_staff_id,allocated_hours,allocated_module,allocated_period,unassigned,allocated_staff_name,allocated_staff_target_hours
T0001,M01,10,T2,midday,South,Thu,teaching,1,8.000053122797777,10.000053122797777,S020,8.000053122797777,M01,T2,0,Staff_020,63
T0002,M01,12,T1,morning,South,Wed,teaching,1,8.879236054546913,12.0,S049,8.879236054546913,M01,T1,0,Staff_049,55
T0003,M01,8,T1,morning,North,Wed,teaching,1,8.879236054546913,12.0,S019,8.879236054546913,M01,T1,0,Staff_019,63
T0004,M02,12,T2,morning,North,Fri,teaching,1,10.0,12.0,S015,10.0,M02,T2,0,Staff_015,64
T0005,M02,12,T2,evening,South,Fri,admin,1,10.0,12.0,S014,10.0,M02,T2,0,Staff_014,64
T0006,M02,6,T2,evening,North,Thu,teaching,1,8.000053122797777,9.600053122797776,S044,8.000053122797777,M02,T2,0,Staff_044,78
T0007,M03,8,T3,midday,City,Wed,teaching,1,8.879236054546913,12.0,S015,8.879236054546913,M03,T3,0,Staff_015,64
T0008,M03,12,T2,midday,North,Wed,teaching,1,8.879236054546913,12.0,S080,8.879236054546913,M03,T2,0,Staff_080,68
T0009,M03,8,T2,midday,City,Tue,admin,1,10.0,12.0,S012,10.0,M03,T2,0,Staff_012,82
T0010,M04,12,T3,morning,North,Wed,teaching,1,8.879236054546913,12.0,S022,8.879236054546913,M04,T3,0,Staff_022,53
T0011,M04,10,T1,morning,City,Wed,admin,1,8.879236054546913,12.0,S022,8.879236054546913,M04,T1,0,Staff_022,53
T0012,M04,8,T3,morning,South,Mon,admin,1,10.0,12.0,S033,10.0,M04,T3,0,Staff_033,73
T0013,M05,6,T2,morning,South,Wed,teaching,1,8.879236054546913,12.0,S006,8.879236054546913,M05,T2,0,Staff_006,77
T0014,M05,10,T2,midday,South,Mon,teaching,1,10.0,12.0,S017,10.0,M05,T2,0,Staff_017,53
T0015,M05,10,T1,midday,North,Wed,teaching,1,8.879236054546913,12.0,S014,8.879236054546913,M05,T1,0,Staff_014,64
T0016,M06,12,T1,morning,City,Wed,teaching,1,8.879236054546913,12.0,S037,8.879236054546913,M06,T1,0,Staff_037,56
T0017,M06,6,T3,midday,North,Mon,teaching,1,10.0,12.0,S051,10.0,M06,T3,0,Staff_051,51
T0018,M06,6,T3,morning,North,Fri,teaching,1,10.0,12.0,S003,10.0,M06,T3,0,Staff_003,54
T0019,M07,6,T2,evening,South,Thu,teaching,1,8.000053122797777,10.000053122797777,S067,8.000053122797777,M07,T2,0,Staff_067,66
T0020,M07,12,T3,morning,City,Mon,teaching,1,10.0,12.0,S030,10.0,M07,T3,0,Staff_030,74
T0021,M07,8,T2,midday,City,Tue,teaching,1,10.0,12.0,S021,10.0,M07,T2,0,Staff_021,80
T0022,M08,12,T3,morning,North,Tue,admin,1,10.0,12.0,S004,10.0,M08,T3,0,Staff_004,70
T0023,M08,8,T2,morning,South,Mon,teaching,1,10.0,12.0,S046,10.0,M08,T2,0,Staff_046,58
