staff_id,name,grade,max_hours,target_hours,prep_cap,soft_prep_target,thr_excess,home_campus,load,load_gap_vs_target
S001,Staff_001,senior,115,85,5,3,104,South,24.44054711182917,-60.55945288817083
S002,Staff_002,junior,71,66,5,3,76,City,28.716030099492407,-37.28396990050759
S003,Staff_003,senior,79,54,2,1,60,South,19.999863764910216,-34.000136235089784
S004,Staff_004,senior,88,60,6,4,65,South,30.632435432537427,-29.367564567462573
S005,Staff_005,junior,63,50,3,1,62,South,20.68955070332071,-29.31044929667929
S006,Staff_006,junior,109,79,4,2,98,South,28.66169100603122,-50.33830899396878
S007,Staff_007,junior,93,64,4,2,84,City,17.527107651901556,-46.47289234809844
S008,Staff_008,junior,89,67,5,3,74,South,17.636298161666126,-49.363701838333874
S009,Staff_009,senior,80,74,3,1,88,City,15.960523561792838,-58.03947643820716
S010,Staff_010,junior,96,56,5,3,64,North,18.697877701927013,-37.30212229807299
S011,Staff_011,senior,64,50,2,1,61,City,14.538071584334151,-35.46192841566585
S012,Staff_012,junior,90,74,5,3,92,City,17.00564289074374,-56.994357109256256
S013,Staff_013,junior,109,93,4,2,108,City,16.017089755896457,-76.98291024410355
S014,Staff_014,senior,81,50,5,3,58,City,19.283892900599312,-30.716107099400688
S015,Staff_015,junior,105,56,2,1,62,North,13.854325567787708,-42.14567443221229
S016,Staff_016,senior,71,56,5,3,67,South,20.9825122467642,-35.0174877532358
S017,Staff_017,junior,86,74,2,1,91,North,29.22421820098445,-44.77578179901555
S018,Staff_018,junior,60,52,6,4,66,City,27.72556923854124,-24.27443076145876
S019,Staff_019,junior,71,62,6,4,70,City,29.174865950833716,-32.82513404916628
S020,Staff_020,junior,73,64,4,2,69,South,27.638913201435717,-36.36108679856429
S021,Staff_021,senior,113,68,5,3,75,City,30.29423219924885,-37.70576780075115
S022,Staff_022,junior,73,68,3,1,73,South,26.69722998915681,-41.30277001084319
S023,Staff_023,senior,83,69,5,3,78,South,18.849204525890983,-50.15079547410902
S024,Staff_024,senior,113,86,3,1,103,City,10.101864225973983,-75.89813577402602
S025,Staff_025,junior,79,57,6,4,69,South,28.532134085219504,-28.467865914780496
