task_id,staff_id,hours,module,period
T0001,S001,9.183872494441657,M01,T1
T0002,S014,11.122198002040028,M01,T2
T0003,S014,8.161694898559285,M01,T3
T0004,S003,11.999869374410792,M02,T2
T0005,S021,11.010707784358054,M02,T3
T0006,S021,10.436656927835166,M02,T1
T0007,S009,7.999994390499424,M03,T1
T0008,S003,7.999994390499424,M03,T1
T0009,S009,7.960529171293414,M03,T3
T0010,S004,10.073380697361012,M04,T1
T0011,S012,9.96707023732852,M04,T2
T0012,S004,9.03149423534879,M04,T3
T0013,S005,10.332372323013988,M05,T2
T0014,S005,10.35717838030672,M05,T1
T0015,S004,11.527560499827628,M05,T2
T0016,S010,8.646892403234157,M06,T2
T0017,S008,9.383303760506726,M06,T2
T0018,S013,8.017095482481364,M06,T2
T0019,S011,8.028616210397617,M07,T2
T0020,S001,8.345920518187098,M07,T2
T0021,S015,7.85200814399218,M07,T2
T0022,S022,9.66633556370371,M08,T2
T0023,S022,7.999994273415091,M08,T1
T0024,S017,8.815550057079099,M08,T2
T0025,S010,10.050985298692856,M09,T1
T0026,S016,11.444474144585184,M09,T2
T0027,S018,10.859205258797944,M09,T2
T0028,S001,6.910754099200412,M10,T3
T0029,S018,6.970178347047268,M10,T3
T0030,S018,9.89618563269603,M10,T1
T0031,S002,9.674940400893368,M11,T1
T0032,S021,8.846867487055627,M11,T2
T0033,S016,9.538038102179014,M11,T3
T0034,S019,9.877772450501055,M12,T2
T0035,S025,10.180162846211768,M12,T1
T0036,S024,10.101864225973983,M12,T2
T0037,S020,9.95181588251912,M13,T1
T0038,S020,9.584870497005392,M13,T2
T0039,S025,8.813933136828721,M13,T2
T0040,S006,8.972435607644309,M14,T1
T0041,S006,8.161694898559285,M14,T3
T0042,S006,11.527560499827628,M14,T2
T0043,S025,9.538038102179014,M15,T3
T0044,S023,9.877772450501055,M15,T2
T0045,S022,9.03090015203801,M15,T3
T0046,S012,7.038572653415222,M16,T3
T0047,S011,6.509455373936535,M16,T3
T0048,S015,6.002317423795529,M16,T3
T0049,S002,9.790496814340775,M17,T2
T0050,S002,9.250592884258262,M17,T3
T0051,S019,10.626121520783608,M17,T1
T0052,S008,8.2529944011594,M18,T1
T0053,S017,11.091416638116971,M18,T1
T0054,S017,9.317251505788375,M18,T3
T0055,S023,8.971432075389925,M19,T3
T0056,S019,8.670971979549053,M19,T3
T0057,S013,7.999994273415091,M19,T1
T0058,S020,8.1022268219112,M20,T3
T0059,S007,8.314667240962931,M20,T1
T0060,S007,9.212440410938624,M20,T2
